text,toxicity
Continue ton excellent travail !,clean
Je méprise tout ce qui te concerne !,toxic
I hate your guts!,toxic
Tu es très gentil !,clean
Quelle horrible personne !,toxic
Quel moment charmant !,clean
What a beautiful experience!,clean
Tu es la pire personne que j'aie jamais vue !,toxic
This is fantastic!,clean
J'adore ce produit !,clean
Thanks for your support!,clean
Cela a égayé ma journée !,clean
Tu es la pire personne que j'aie jamais vue !,toxic
Quel moment charmant !,clean
Tout se passe bien !,clean
"Casse-toi, personne ne te veut ici !",toxic
Je me sens inspiré !,clean
Je ne veux plus jamais te voir !,toxic
J'apprécie tellement ça !,clean
Merci pour ton aide !,clean
Tu es complètement inutile !,toxic
I can't stand your face!,toxic
You're ruining everything!,toxic
Tu es incroyable !,clean
Tu es complètement inutile !,toxic
Tu es sans valeur !,toxic
Everything you do is pathetic!,toxic
Je suis fier de toi !,clean
I appreciate your help!,clean
Quelle belle journée !,clean
Thanks for your support!,clean
Tu es très talentueux !,clean
Quelle belle expérience !,clean
Tout ce que tu fais est pathétique !,toxic
You disgust me!,toxic
Tu ruines tout !,toxic
Tout se passe bien !,clean
Tu es complètement idiot !,toxic
Je me sens inspiré !,clean
This is disgusting and stupid!,toxic
Such a lovely moment!,clean
This is the most annoying thing ever!,toxic
Thanks for your support!,clean
You are very talented!,clean
Je méprise tout ce qui te concerne !,toxic
Je suis fier de toi !,clean
Thanks for your support!,clean
Quelle belle journée !,clean
Cela a égayé ma journée !,clean
This made my day!,clean
Je ne supporte pas ton visage !,toxic
Such a lovely moment!,clean
You're worthless!,toxic
Quel moment charmant !,clean
C'est vraiment génial !,clean
Tu me rends heureux !,clean
You are hopeless!,toxic
This is so amazing!,clean
This is the most annoying thing ever!,toxic
What a horrible person!,toxic
Tu as fait un excellent travail !,clean
What a wonderful day!,clean
Tout ce que tu fais est pathétique !,toxic
You're the worst person ever!,toxic
Tu ruines tout !,toxic
Tout se passe bien !,clean
Continue ton excellent travail !,clean
Je déteste tes tripes !,toxic
Tu as fait un excellent travail !,clean
I hate you so much!,toxic
"Dégage, personne ne t'aime ici !",toxic
Je suis fier de toi !,clean
You are amazing!,clean
Continue ton excellent travail !,clean
This is fantastic!,clean
Keep up the great work!,clean
"Dégage, personne ne t'aime ici !",toxic
Quelle horrible personne !,toxic
Quelle horrible personne !,toxic
Tu me dégoûtes !,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
You are very talented!,clean
Tout ce que tu fais est pathétique !,toxic
"Tais-toi, personne ne s'en soucie !",toxic
Tu me rends heureux !,clean
Thanks for your support!,clean
I can't stand your face!,toxic
Je déteste tes tripes !,toxic
Cela a égayé ma journée !,clean
Such a lovely moment!,clean
Tu es désespéré !,toxic
Everything is going well!,clean
C'est absolument dégoûtant et ridicule !,toxic
Quelle belle journée !,clean
Keep up the great work!,clean
What a wonderful day!,clean
Everything is going well!,clean
Tu ruines tout !,toxic
Quelle belle journée !,clean
This is the most annoying thing ever!,toxic
J'adore ce produit !,clean
You are hopeless!,toxic
I hate your guts!,toxic
You disgust me!,toxic
You are amazing!,clean
"Arrête de parler, imbécile !",toxic
I appreciate your help!,clean
I never want to see you again!,toxic
Tout se passe bien !,clean
C'est fantastique !,clean
Tu as fait un excellent travail !,clean
This is disgusting and stupid!,toxic
This is the most annoying thing ever!,toxic
C'est absolument dégoûtant et ridicule !,toxic
Quelle horrible personne !,toxic
You're the worst person ever!,toxic
You are very kind!,clean
Tu es très gentil !,clean
What a horrible person!,toxic
Cela a égayé ma journée !,clean
C'est la chose la plus agaçante qui soit !,toxic
This made my day!,clean
Je suis fier de toi !,clean
Quelle belle expérience !,clean
Tu es incroyable !,clean
Quelle belle journée !,clean
I hate your guts!,toxic
Tu es très gentil !,clean
You did perfectly!,clean
"Arrête de parler, imbécile !",toxic
You make me happy!,clean
Tu es la pire personne que j'aie jamais vue !,toxic
I never want to see you again!,toxic
I despise everything about you!,toxic
"Shut up, nobody cares!",toxic
Je suis fier de toi !,clean
This is fantastic!,clean
You're worthless!,toxic
"Dégage, personne ne t'aime ici !",toxic
Tu es la pire personne que j'aie jamais vue !,toxic
I hate you so much!,toxic
I appreciate your help!,clean
J'adore ce produit !,clean
I enjoy this so much!,clean
C'est absolument dégoûtant et ridicule !,toxic
You're completely useless!,toxic
This made my day!,clean
Cela a égayé ma journée !,clean
I'm proud of you!,clean
Everything you do is pathetic!,toxic
Je méprise tout ce qui te concerne !,toxic
Quelle belle expérience !,clean
"Casse-toi, personne ne te veut ici !",toxic
I can't stand your face!,toxic
I can't stand your face!,toxic
You did perfectly!,clean
I'm proud of you!,clean
Tu ruines tout !,toxic
You are very kind!,clean
"Stop talking, you fool!",toxic
You're worthless!,toxic
J'adore ce produit !,clean
You did perfectly!,clean
What a wonderful day!,clean
What a wonderful day!,clean
Cela a égayé ma journée !,clean
Tu ruines tout !,toxic
Such a lovely moment!,clean
You disgust me!,toxic
C'est la chose la plus agaçante qui soit !,toxic
"Stop talking, you fool!",toxic
You're the worst person ever!,toxic
I'm proud of you!,clean
"Get lost, nobody wants you here!",toxic
C'est absolument dégoûtant et ridicule !,toxic
I can't stand your face!,toxic
You're ruining everything!,toxic
Tu es très gentil !,clean
This made my day!,clean
Quelle belle journée !,clean
Je ne veux plus jamais te voir !,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
This is disgusting and stupid!,toxic
I never want to see you again!,toxic
Keep up the great work!,clean
You're the worst person ever!,toxic
This is fantastic!,clean
"Get lost, nobody wants you here!",toxic
"Arrête de parler, imbécile !",toxic
Quelle horrible personne !,toxic
You are very talented!,clean
What a horrible person!,toxic
C'est la chose la plus agaçante qui soit !,toxic
Je te déteste totalement !,toxic
This is fantastic!,clean
You are hopeless!,toxic
Merci pour ton soutien !,clean
Tu es désespéré !,toxic
You're completely useless!,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
Cela a égayé ma journée !,clean
"Arrête de parler, imbécile !",toxic
You're the worst person ever!,toxic
I hate you so much!,toxic
You're a complete idiot!,toxic
Tu as fait un excellent travail !,clean
You are amazing!,clean
You are hopeless!,toxic
This is fantastic!,clean
You are hopeless!,toxic
Merci pour ton soutien !,clean
What a beautiful experience!,clean
"Tais-toi, personne ne s'en soucie !",toxic
J'apprécie tellement ça !,clean
J'adore ce produit !,clean
Everything is going well!,clean
Tu as fait un excellent travail !,clean
Je ne supporte pas ton visage !,toxic
Je ne supporte pas ton visage !,toxic
Merci pour ton soutien !,clean
I feel inspired!,clean
"Tais-toi, personne ne s'en soucie !",toxic
You did perfectly!,clean
Tu es complètement idiot !,toxic
You're worthless!,toxic
Thanks for your support!,clean
Quelle horrible personne !,toxic
Je déteste tes tripes !,toxic
Merci pour ton soutien !,clean
J'apprécie tellement ça !,clean
Je suis fier de toi !,clean
Merci pour ton soutien !,clean
Je me sens inspiré !,clean
Keep up the great work!,clean
"Casse-toi, personne ne te veut ici !",toxic
Quelle horrible personne !,toxic
This is the most annoying thing ever!,toxic
Je méprise tout ce qui te concerne !,toxic
I appreciate your help!,clean
I hate your guts!,toxic
"Get lost, nobody wants you here!",toxic
"Arrête de parler, imbécile !",toxic
Je déteste tes tripes !,toxic
You're completely useless!,toxic
I hate your guts!,toxic
Je me sens inspiré !,clean
C'est la chose la plus agaçante qui soit !,toxic
Tu es très gentil !,clean
Tu es complètement idiot !,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
Tout ce que tu fais est pathétique !,toxic
This is disgusting and stupid!,toxic
You are hopeless!,toxic
Everything is going well!,clean
You make me happy!,clean
Tu es la pire personne que j'aie jamais vue !,toxic
Je déteste tes tripes !,toxic
I appreciate your help!,clean
I'm proud of you!,clean
Quel moment charmant !,clean
You're ruining everything!,toxic
Everything is going well!,clean
What a beautiful experience!,clean
Tu as parfaitement réussi !,clean
You're completely useless!,toxic
"Arrête de parler, imbécile !",toxic
Tu es incroyable !,clean
J'apprécie tellement ça !,clean
Such a lovely moment!,clean
Everything you do is pathetic!,toxic
Cela a égayé ma journée !,clean
You did perfectly!,clean
Je ne veux plus jamais te voir !,toxic
You make me happy!,clean
"Tais-toi, personne ne s'en soucie !",toxic
Quel moment charmant !,clean
"Tais-toi, personne ne s'en soucie !",toxic
Thanks for your support!,clean
Tu es complètement idiot !,toxic
Tu es la pire personne que j'aie jamais vue !,toxic
Tout ce que tu fais est pathétique !,toxic
Everything is going well!,clean
Je ne veux plus jamais te voir !,toxic
You are very talented!,clean
What a beautiful experience!,clean
Quelle horrible personne !,toxic
J'adore ce produit !,clean
"Dégage, personne ne t'aime ici !",toxic
Tu me dégoûtes !,toxic
Keep up the great work!,clean
Tu me dégoûtes !,toxic
Everything you do is pathetic!,toxic
This made my day!,clean
Tu es désespéré !,toxic
I love this!,clean
Tout ce que tu fais est pathétique !,toxic
C'est vraiment génial !,clean
Je ne veux plus jamais te voir !,toxic
I hate you so much!,toxic
C'est vraiment génial !,clean
Tu es incroyable !,clean
You're a complete idiot!,toxic
Je déteste tes tripes !,toxic
Tu es très gentil !,clean
C'est absolument dégoûtant et ridicule !,toxic
You did a great job!,clean
You're a complete idiot!,toxic
You are amazing!,clean
Tu es complètement inutile !,toxic
Tu es incroyable !,clean
Tu es désespéré !,toxic
I love this!,clean
I despise everything about you!,toxic
Tu es sans valeur !,toxic
"Shut up, nobody cares!",toxic
Tu as parfaitement réussi !,clean
You did a great job!,clean
Quelle horrible personne !,toxic
C'est la chose la plus agaçante qui soit !,toxic
You make me happy!,clean
"Get lost, nobody wants you here!",toxic
I enjoy this so much!,clean
You are hopeless!,toxic
Merci pour ton soutien !,clean
Tout se passe bien !,clean
This is fantastic!,clean
J'adore ce produit !,clean
I never want to see you again!,toxic
Continue ton excellent travail !,clean
Thanks for your support!,clean
Tu es incroyable !,clean
I can't stand your face!,toxic
Tu as fait un excellent travail !,clean
Continue ton excellent travail !,clean
Such a lovely moment!,clean
I enjoy this so much!,clean
J'adore ce produit !,clean
I love this!,clean
Merci pour ton soutien !,clean
I hate you so much!,toxic
Tu ruines tout !,toxic
I hate your guts!,toxic
Such a lovely moment!,clean
What a beautiful experience!,clean
You are amazing!,clean
Quel moment charmant !,clean
Je te déteste totalement !,toxic
"Casse-toi, personne ne te veut ici !",toxic
"Stop talking, you fool!",toxic
Tu es sans valeur !,toxic
C'est la chose la plus agaçante qui soit !,toxic
You are amazing!,clean
Tu es désespéré !,toxic
You're a complete idiot!,toxic
Cela a égayé ma journée !,clean
Tu es très talentueux !,clean
You're a complete idiot!,toxic
Tu es désespéré !,toxic
You did perfectly!,clean
"Arrête de parler, imbécile !",toxic
Quelle horrible personne !,toxic
Tout se passe bien !,clean
Tu es très gentil !,clean
I despise everything about you!,toxic
This is the most annoying thing ever!,toxic
You're a complete idiot!,toxic
Such a lovely moment!,clean
I love this!,clean
Quelle horrible personne !,toxic
"Shut up, nobody cares!",toxic
What a horrible person!,toxic
J'apprécie tellement ça !,clean
J'adore ce produit !,clean
Merci pour ton soutien !,clean
"Go away, nobody likes you!",toxic
Tu es complètement inutile !,toxic
"Shut up, nobody cares!",toxic
You make me happy!,clean
Continue ton excellent travail !,clean
Tu as fait un excellent travail !,clean
You are very kind!,clean
